angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
-40035.8,0.796096,0.796096,9.72e-013,1.22096e-012,4533000,1003000,3530000,4.51944
-428040,-0.654789,-0.654789,1.12949e-011,1.72496e-011,6026000,0,6026000,inf
-532588,0.976956,0.976956,4.43123e-012,4.53576e-012,5252000,1003000,4249000,5.23629
675821,-0.351509,-0.351509,1.92171e-010,5.46704e-010,5531000,1002000,4529000,5.51996
-54157.7,-0.974035,-0.974035,4.77951e-013,4.90692e-013,4012000,1503000,2509000,2.66933
-506679,-0.979213,-0.979213,4.00613e-012,4.09117e-012,5078000,1002000,4076000,5.06786
694469,0.101812,0.101812,2.44597e-009,2.40244e-008,5523000,1002000,4521000,5.51198
429175,-0.581018,-0.581018,1.92565e-011,3.31427e-011,5091000,1004000,4087000,5.07072
-589072,-0.124964,-0.124964,1.95461e-009,1.56414e-008,5571000,1002000,4569000,5.55988
-345665,0.169092,0.169092,1.26227e-009,7.46497e-009,5517000,502000,5015000,10.99
959531,0.750836,0.750836,2.45857e-011,3.27444e-011,5032000,1002000,4030000,5.02196
464778,-0.0776298,-0.0776298,3.09197e-009,3.98297e-008,5453000,1001000,4452000,5.44755
-430026,-0.241083,-0.241083,5.83583e-010,2.42067e-009,5014000,1000000,4014000,5.014
-673028,0.374502,0.374502,1.49937e-010,4.00364e-010,5025000,1002000,4023000,5.01497
-463507,-0.889851,-0.889851,8.24385e-012,9.2643e-012,5014000,1009000,4005000,4.96928
291424,-0.806342,-0.806342,6.69964e-012,8.30868e-012,4726000,1003000,3723000,4.71186
-668814,0.984176,0.984176,4.61953e-012,4.6938e-012,5040000,1002000,4038000,5.02994
-803908,0.957266,0.957266,9.06286e-012,9.46744e-012,5012000,1000000,4012000,5.012
-923007,0.712118,0.712118,2.49172e-011,3.49902e-011,5027000,1001000,4026000,5.02198
884639,-0.690014,-0.690014,2.4368e-011,3.53152e-011,5013000,1008000,4005000,4.97321
-181030,0.0366734,0.0366734,4.55018e-009,1.24073e-007,5637000,1007000,4630000,5.59782
-177578,-0.591418,-0.591418,1.02454e-011,1.73234e-011,5013000,1004000,4009000,4.99303
-473323,-0.34969,-0.34969,1.5402e-010,4.40448e-010,5512000,0,5512000,inf
-991824,-0.632995,-0.632995,2.78504e-011,4.39978e-011,6019000,1002000,5017000,6.00699
470483,-0.692249,-0.692249,1.26743e-011,1.83089e-011,5019000,1002000,4017000,5.00898
340320,-0.946759,-0.946759,4.27081e-012,4.51097e-012,5028000,1004000,4024000,5.00797
550462,-0.05581,-0.05581,3.78972e-009,6.79039e-008,5238000,1002000,4236000,5.22754
438066,-0.657198,-0.657198,1.41195e-011,2.14844e-011,5515000,503000,5012000,10.9642
279623,-0.815204,-0.815204,6.32649e-012,7.76063e-012,5017000,1005000,4012000,4.99204
-874371,-0.950416,-0.950416,1.05994e-011,1.11524e-011,5062000,1002000,4060000,5.0519
-675646,-0.639291,-0.639291,2.20794e-011,3.45374e-011,5030000,0,5030000,inf
-881855,-0.811296,-0.811296,2.00813e-011,2.47521e-011,6016000,1000000,5016000,6.016
-324337,0.47915,0.47915,4.09644e-011,8.54938e-011,5521000,0,5521000,inf
111583,0.999747,0.999747,9.79217e-014,9.79465e-014,5488000,1002000,4486000,5.47705
765313,-0.557052,-0.557052,3.3381e-011,5.99244e-011,5015000,1002000,4013000,5.00499
582791,0.690931,0.690931,1.58444e-011,2.2932e-011,5024000,1502000,3522000,3.34487
172293,-0.258273,-0.258273,5.03381e-010,1.94903e-009,4994000,1001000,3993000,4.98901
