angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409703,1.57768e-012,3.85079e-012,5074000,1005000,4069000,5.04876
-831034,-0.623271,-0.623271,2.53342e-011,4.06471e-011,5999000,0,5999000,inf
-458094,0.181763,0.181763,1.75593e-011,9.66055e-011,6444000,1011000,5433000,6.37389
609577,0.999799,0.999799,5.46351e-010,5.4646e-010,5252000,0,5252000,inf
409167,-0.631542,-0.631542,1.23638e-011,1.95771e-011,6209000,1002000,5207000,6.19661
-443709,-0.113706,-0.113706,1.71838e-011,1.51126e-010,5516000,1002000,4514000,5.50499
471271,0.851165,0.851165,1.0641e-011,1.25017e-011,4788000,1003000,3785000,4.77368
657518,0.953544,0.953544,3.3498e-011,3.513e-011,5588000,1007000,4581000,5.54916
166359,-0.938064,-0.938064,1.22243e-011,1.30314e-011,5033000,0,5033000,inf
-30974.2,0.952555,0.952555,2.51641e-011,2.64175e-011,6025000,1002000,5023000,6.01297
-328370,0.898928,0.898928,9.62685e-012,1.07093e-011,4512000,1508000,3004000,2.99204
-806591,-0.11272,-0.11272,3.12409e-011,2.77156e-010,5573000,0,5573000,inf
433238,-0.430425,-0.430425,1.52434e-011,3.54147e-011,6025000,1002000,5023000,6.01297
-609370,-0.971812,-0.971812,6.21125e-011,6.39141e-011,5050000,1001000,4049000,5.04496
664120,0.211697,0.211697,2.53009e-011,1.19515e-010,6146000,0,6146000,inf
519614,0.925531,0.925531,1.70658e-011,1.84389e-011,5803000,1034000,4769000,5.61219
-856232,0.517681,0.517681,2.85559e-011,5.51613e-011,5462000,0,5462000,inf
-642337,-0.924262,-0.924262,1.85648e-011,2.00861e-011,6004000,1000000,5004000,6.004
162445,-0.566959,-0.566959,5.21583e-012,9.19966e-012,6004000,0,6004000,inf
-551083,0.551526,0.551526,1.79192e-011,3.24903e-011,6002000,1001000,5001000,5.996
45341.5,0.898569,0.898569,3.19966e-012,3.56084e-012,5004000,1001000,4003000,4.999
-86323.8,0.762143,0.762143,2.08944e-012,2.74153e-012,5502000,1000000,4502000,5.502
400490,-0.32987,-0.32987,1.47375e-011,4.46766e-011,5503000,1000000,4503000,5.503
405221,0.0194771,0.0194771,1.57927e-011,8.10833e-010,6004000,0,6004000,inf
752226,-0.270386,-0.270386,2.82299e-011,1.04406e-010,6503000,0,6503000,inf
-73721.3,-0.641777,-0.641777,2.20712e-012,3.43908e-012,6513000,0,6513000,inf
702215,-0.396756,-0.396756,2.5126e-011,6.33286e-011,6015000,1000000,5015000,6.015
777770,-0.0440029,-0.0440029,3.02885e-011,6.88329e-010,5001000,1503000,3498000,3.32735
515021,0.722594,0.722594,1.39087e-011,1.92482e-011,5131000,1001000,4130000,5.12587
-866518,0.885793,0.885793,1.8381e-011,2.07509e-011,5003000,1000000,4003000,5.003
-200535,-0.365617,-0.365617,7.27568e-012,1.98997e-011,6002000,0,6002000,inf
-491125,0.261926,0.261926,1.84759e-011,7.05384e-011,6003000,1001000,5002000,5.997
-927838,-0.352157,-0.352157,3.38508e-011,9.61242e-011,6004000,0,6004000,inf
123389,-0.117721,-0.117721,4.77633e-012,4.05733e-011,6002000,1000000,5002000,6.002
-765238,-0.366499,-0.366499,2.77538e-011,7.57268e-011,5004000,1000000,4004000,5.004
-526462,0.184825,0.184825,2.01681e-011,1.0912e-010,5502000,1502000,4000000,3.66312
846405,-0.285848,-0.285848,3.16167e-011,1.10606e-010,5001000,1000000,4001000,5.001
-849002,0.6983,0.6983,2.36733e-011,3.39013e-011,6005000,0,6005000,inf
