angle,std_result,my_result,abs_error,rel_error,std_time,my_time,diff,speedup_ratio
44368.3,0.409703,0.409703,1.57768e-012,3.85079e-012,6518000,0,6518000,inf
-831034,-0.623271,-0.623271,2.53342e-011,4.06471e-011,6002000,999000,5003000,6.00801
-458094,0.181763,0.181763,1.75593e-011,9.66055e-011,5723000,0,5723000,inf
609577,0.999799,0.999799,5.46351e-010,5.4646e-010,6035000,1002000,5033000,6.02295
409167,-0.631542,-0.631542,1.23638e-011,1.95771e-011,4998000,999000,3999000,5.003
-443709,-0.113706,-0.113706,1.71838e-011,1.51126e-010,6000000,0,6000000,inf
471271,0.851165,0.851165,1.0641e-011,1.25017e-011,5022000,1008000,4014000,4.98214
657518,0.953544,0.953544,3.3498e-011,3.513e-011,5000000,1000000,4000000,5
166359,-0.938064,-0.938064,1.22243e-011,1.30314e-011,5000000,1000000,4000000,5
-30974.2,0.952555,0.952555,2.51641e-011,2.64175e-011,5255000,0,5255000,inf
-328370,0.898928,0.898928,9.62685e-012,1.07093e-011,6000000,0,6000000,inf
-806591,-0.11272,-0.11272,3.12409e-011,2.77156e-010,6005000,997000,5008000,6.02307
433238,-0.430425,-0.430425,1.52434e-011,3.54147e-011,4998000,1000000,3998000,4.998
-609370,-0.971812,-0.971812,6.21125e-011,6.39141e-011,5522000,0,5522000,inf
664120,0.211697,0.211697,2.53009e-011,1.19515e-010,5473000,1001000,4472000,5.46753
519614,0.925531,0.925531,1.70658e-011,1.84389e-011,4999000,1000000,3999000,4.999
-856232,0.517681,0.517681,2.85559e-011,5.51613e-011,5000000,1082000,3918000,4.62107
-642337,-0.924262,-0.924262,1.85648e-011,2.00861e-011,7007000,1000000,6007000,7.007
162445,-0.566959,-0.566959,5.21583e-012,9.19966e-012,6000000,1021000,4979000,5.87659
-551083,0.551526,0.551526,1.79192e-011,3.24903e-011,6111000,0,6111000,inf
45341.5,0.898569,0.898569,3.19966e-012,3.56084e-012,5000000,1000000,4000000,5
-86323.8,0.762143,0.762143,2.08944e-012,2.74153e-012,5000000,1000000,4000000,5
400490,-0.32987,-0.32987,1.47375e-011,4.46766e-011,6093000,0,6093000,inf
405221,0.0194771,0.0194771,1.57927e-011,8.10833e-010,6001000,1000000,5001000,6.001
752226,-0.270386,-0.270386,2.82299e-011,1.04406e-010,5169000,1001000,4168000,5.16384
-73721.3,-0.641777,-0.641777,2.20712e-012,3.43908e-012,5000000,1000000,4000000,5
702215,-0.396756,-0.396756,2.5126e-011,6.33286e-011,6000000,0,6000000,inf
777770,-0.0440029,-0.0440029,3.02885e-011,6.88329e-010,6000000,1000000,5000000,6
515021,0.722594,0.722594,1.39087e-011,1.92482e-011,5000000,1062000,3938000,4.7081
-866518,0.885793,0.885793,1.8381e-011,2.07509e-011,5010000,999000,4011000,5.01502
-200535,-0.365617,-0.365617,7.27568e-012,1.98997e-011,5004000,1000000,4004000,5.004
-491125,0.261926,0.261926,1.84759e-011,7.05384e-011,6187000,0,6187000,inf
-927838,-0.352157,-0.352157,3.38508e-011,9.61242e-011,5508000,1000000,4508000,5.508
123389,-0.117721,-0.117721,4.77633e-012,4.05733e-011,6001000,0,6001000,inf
